time,chain_0.04,chain_0.08,chain_0.12,combined_0.04,combined_0.08,combined_0.12,price_control_0.04,price_control_0.08,price_control_0.12,shuffled_control_0.04,shuffled_control_0.08,shuffled_control_0.12,unforecasted_basket_0.04,unforecasted_basket_0.08,unforecasted_basket_0.12,chain_lag7_0.04,chain_lag7_0.08,chain_lag7_0.12
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,-0.0017133006213362334,-0.00315748497385937,-0.004601669326382618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017133006213362334,-0.00315748497385937,-0.004601669326382618,-0.0017133006213362334,-0.00315748497385937,-0.004601669326382618
2016-01-03,-0.005128753048126433,-0.005153536463791797,-0.005178747220007551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005128753048126433,-0.005153536463791797,-0.005178747220007551,-0.005128753048126433,-0.005153536463791797,-0.005178747220007551
2016-01-04,-0.0015447093381016908,-0.001571557234478771,-0.0015983856306291955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015447093381016908,-0.001571557234478771,-0.0015983856306291955,-0.0015447093381016908,-0.001571557234478771,-0.0015983856306291955
2016-01-05,-0.0063085210577407125,-0.006431134839725905,-0.00655370681740064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0063085210577407125,-0.006431134839725905,-0.00655370681740064,-0.0063085210577407125,-0.006431134839725905,-0.00655370681740064
2016-01-06,-0.003954407656824643,-0.00398084177483371,-0.00400731470213278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003954407656824643,-0.00398084177483371,-0.00400731470213278,-0.003954407656824643,-0.00398084177483371,-0.00400731470213278
2016-01-07,0.018802515858766577,0.018782098219493504,0.018761686916078046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018802515858766577,0.018782098219493504,0.018761686916078046,0.018802515858766577,0.018782098219493504,0.018761686916078046
2016-01-08,0.007079412308765631,0.006880468109835336,0.00668149836531895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007079412308765631,0.006880468109835336,0.00668149836531895,0.007079412308765631,0.006880468109835336,0.00668149836531895
2016-01-09,0.014922743659369075,0.014857080747851636,0.014791598498216763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014922743659369075,0.014857080747851636,0.014791598498216763,0.014922743659369075,0.014857080747851636,0.014791598498216763
2016-01-10,-0.006046449863011616,-0.006110234200396025,-0.006173997913381135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006046449863011616,-0.006110234200396025,-0.006173997913381135,-0.006046449863011616,-0.006110234200396025,-0.006173997913381135
2016-01-11,0.006230288785603388,0.006192313264589577,0.006154261712667974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006230288785603388,0.006192313264589577,0.006154261712667974,0.006230288785603388,0.006192313264589577,0.006154261712667974
2016-01-12,0.010315671719587138,0.009964300874289789,0.00961300185707925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010315671719587138,0.009964300874289789,0.00961300185707925,0.010315671719587138,0.009964300874289789,0.00961300185707925
2016-01-13,-0.0047578355172216424,-0.004815634741601182,-0.004873418021184017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047578355172216424,-0.004815634741601182,-0.004873418021184017,-0.0047578355172216424,-0.004815634741601182,-0.004873418021184017
