experiment_id,preregistration_sha256,mechanism,status,observed_metrics
frontier_20260910_forecast_surprise,ac90b36dfa285a3359ede0eabe51a2aedd74bced24792d161198efb7e74ca6ff,forecast_surprise,PENDING,
frontier_20260910_flow_absorption,1c6dc94c4fe2ea477ff3b04637453edae90abb868870959702e9f3657e1c077a,flow_absorption,PENDING,
frontier_20260910_vol_curve,2723da4e46b234345cc572c994e51af493497b5814ba6ecf3118b74f45169536,vol_curve,PENDING,
frontier_20260910_model_disagreement,f84f696efd59e4386f24020ed75389d4bb3fdb158fed3b58fb561422ff2d6849,model_disagreement,PENDING,
frontier_20260910_reentry_hysteresis,a4ab3e398f144e2ad543643306a14b964008fb1ee4fe6e15156f1c6a7db312c0,reentry_hysteresis,PENDING,
frontier_20260910_bridge_migration,5bab947ee5990778187b53c55cd6b5d318b6863b3c9bd79d1e690598e49690b4,bridge_migration,PENDING,
